# Tag name          ;  color
Untagged            ; #c0c0c0
Flight              ; #c0c0c0
Ham                 ; #c0c0c0
Weather             ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
    88500000; WRAS - GPB Atlanta       ; WFM (stereo)        ;     160000; Untagged
   121800000; Brisco - Ground          ; AM                  ;      10000; Flight
   124100000; Brisco - Tower           ; AM                  ;      10000; Flight
   126978000; ??                       ; AM                  ;      10000; Flight
   128000000; ATL - N Approach         ; AM                  ;      10000; Flight
   128525000; ATL - NE Approach        ; AM                  ;      10000; Flight
   146520000; National Simplex         ; AM                  ;      10000; Ham
   147075000; GARS                     ; AM                  ;      10000; Ham
   161650000; WX8                      ; Narrow FM           ;      10000; Weather
   161775000; WX9                      ; Narrow FM           ;      10000; Weather
   162400000; WX2                      ; Narrow FM           ;      10000; Weather
   162425000; WX4                      ; Narrow FM           ;      10000; Weather
   162450000; WX5                      ; Narrow FM           ;      10000; Weather
   162475000; WX3                      ; Narrow FM           ;      10000; Weather
   162500000; WX6                      ; Narrow FM           ;      10000; Weather
   162525000; WX7                      ; Narrow FM           ;      10000; Weather
   162550000; WX1                      ; Narrow FM           ;      10000; Weather
   163275000; WX10                     ; Narrow FM           ;      10000; Weather
